,음식,label,구간
0,"('쌀밥(반공기)', '쇠고기국', '콩나물무침')",1676,7
1,"('쌀밥(반공기)', '쇠고기국', '고사리나물')",1665,8
2,"('쌀밥(반공기)', '쇠고기국', '버섯볶음')",1669,13
3,"('쌀밥(반공기)', '쇠고기국', '진미채볶음')",1674,17
4,"('쌀밥(반공기)', '쇠고기국', '낚지볶음')",1668,22
5,"('쌀밥(반공기)', '쇠고기국', '김치참치볶음')",1667,8
6,"('쌀밥(반공기)', '쇠고기국', '갈치구이')",1660,22
7,"('쌀밥(반공기)', '쇠고기국', '조기구이')",1673,12
8,"('쌀밥(반공기)', '쇠고기국', '잔멸치볶음')",1672,10
9,"('쌀밥(반공기)', '쇠고기국', '감자채볶음')",1661,11
10,"('쌀밥(반공기)', '쇠고기국', '애호박볶음')",1671,12
11,"('쌀밥(반공기)', '쇠고기국', '골뱅이무침')",1666,14
12,"('쌀밥(반공기)', '쇠고기국', '홍합무침')",1678,13
13,"('쌀밥(반공기)', '쇠고기국', '코다리찜')",1675,17
14,"('쌀밥(반공기)', '쇠고기국', '콩나물찜')",1677,23
15,"('쌀밥(반공기)', '쇠고기국', '훈제닭가슴살')",1679,15
16,"('쌀밥(반공기)', '쇠고기국', '계란프라이')",1663,12
17,"('쌀밥(반공기)', '쇠고기국', '계란찜')",1662,23
18,"('쌀밥(반공기)', '쇠고기국', '계란햄말이')",1664,17
19,"('쌀밥(반공기)', '쇠고기국', '쇠고기장조림')",1670,16
20,"('쌀밥(반공기)', '시래기국', '콩나물무침')",1696,4
21,"('쌀밥(반공기)', '시래기국', '고사리나물')",1685,5
22,"('쌀밥(반공기)', '시래기국', '버섯볶음')",1689,10
23,"('쌀밥(반공기)', '시래기국', '진미채볶음')",1694,14
24,"('쌀밥(반공기)', '시래기국', '낚지볶음')",1688,19
25,"('쌀밥(반공기)', '시래기국', '김치참치볶음')",1687,5
26,"('쌀밥(반공기)', '시래기국', '갈치구이')",1680,20
