,음식,label,구간
0,"('곤드레나물밥', '무된장국', '도토리묵말이')",34,21
1,"('곤드레나물밥', '무된장국', '콩나물무침')",40,14
2,"('곤드레나물밥', '무된장국', '취나물')",39,14
3,"('곤드레나물밥', '무된장국', '미나리나물')",35,13
4,"('곤드레나물밥', '무된장국', '달래나물무침')",31,16
5,"('곤드레나물밥', '무된장국', '더덕무침')",32,18
6,"('곤드레나물밥', '무된장국', '도토리묵')",33,14
7,"('곤드레나물밥', '무된장국', '청포묵무침')",38,17
8,"('곤드레나물밥', '무된장국', '깻잎나물볶음')",30,18
9,"('곤드레나물밥', '무된장국', '표고버섯볶음')",41,17
10,"('곤드레나물밥', '무된장국', '버섯구이')",36,14
11,"('곤드레나물밥', '무된장국', '새송이버섯구이')",37,14
12,"('곤드레나물밥', '무된장국', '가지나물무침')",28,13
13,"('곤드레나물밥', '무된장국', '고사리나물무침')",29,14
14,"('곤드레나물밥', '미소된장국', '도토리묵말이')",48,20
15,"('곤드레나물밥', '미소된장국', '콩나물무침')",54,10
16,"('곤드레나물밥', '미소된장국', '취나물')",53,12
17,"('곤드레나물밥', '미소된장국', '미나리나물')",49,10
18,"('곤드레나물밥', '미소된장국', '달래나물무침')",45,14
19,"('곤드레나물밥', '미소된장국', '더덕무침')",46,17
20,"('곤드레나물밥', '미소된장국', '도토리묵')",47,11
21,"('곤드레나물밥', '미소된장국', '청포묵무침')",52,15
22,"('곤드레나물밥', '미소된장국', '깻잎나물볶음')",44,16
23,"('곤드레나물밥', '미소된장국', '표고버섯볶음')",55,15
24,"('곤드레나물밥', '미소된장국', '버섯구이')",50,10
25,"('곤드레나물밥', '미소된장국', '새송이버섯구이')",51,12
26,"('곤드레나물밥', '미소된장국', '가지나물무침')",42,10
27,"('곤드레나물밥', '미소된장국', '고사리나물무침')",43,11
28,"('곤드레나물밥', '시래기된장국', '도토리묵말이')",76,21
29,"('곤드레나물밥', '시래기된장국', '콩나물무침')",82,13
30,"('곤드레나물밥', '시래기된장국', '취나물')",81,14
31,"('곤드레나물밥', '시래기된장국', '미나리나물')",77,13
32,"('곤드레나물밥', '시래기된장국', '달래나물무침')",73,16
33,"('곤드레나물밥', '시래기된장국', '더덕무침')",74,18
34,"('곤드레나물밥', '시래기된장국', '도토리묵')",75,14
35,"('곤드레나물밥', '시래기된장국', '청포묵무침')",80,17
36,"('곤드레나물밥', '시래기된장국', '깻잎나물볶음')",72,18
37,"('곤드레나물밥', '시래기된장국', '표고버섯볶음')",83,16
38,"('곤드레나물밥', '시래기된장국', '버섯구이')",78,14
39,"('곤드레나물밥', '시래기된장국', '새송이버섯구이')",79,14
40,"('곤드레나물밥', '시래기된장국', '가지나물무침')",70,12
41,"('곤드레나물밥', '시래기된장국', '고사리나물무침')",71,14
42,"('곤드레나물밥', '초당순두부', '도토리묵말이')",90,21
43,"('곤드레나물밥', '초당순두부', '콩나물무침')",96,20
44,"('곤드레나물밥', '초당순두부', '취나물')",95,21
45,"('곤드레나물밥', '초당순두부', '미나리나물')",91,20
